,Cluster_ID,Size,Representative,All_Features
445,295,2,HOUSTNE_accel_3M,"HOUSTNE_accel_3M, HOUSTNE_chg_3M"
526,74,2,BUSINVx_zscore_12M,"BUSINVx_zscore_12M, BUSINVx_zscore_6M"
510,93,2,ANDENOx_accel_3M,"ANDENOx_accel_3M, ANDENOx_chg_3M"
509,100,2,AMDMNOx_accel_12M,"AMDMNOx_accel_12M, AMDMNOx_chg_12M"
508,88,2,AMDMNOx_accel_6M,"AMDMNOx_accel_6M, AMDMNOx_chg_6M"
507,92,2,AMDMNOx_accel_3M,"AMDMNOx_accel_3M, AMDMNOx_chg_3M"
506,150,2,ACOGNO_accel_12M,"ACOGNO_accel_12M, ACOGNO_chg_12M"
505,588,2,ACOGNO_accel_6M,"ACOGNO_accel_6M, ACOGNO_chg_6M"
503,589,2,ACOGNO_accel_3M,"ACOGNO_accel_3M, ACOGNO_chg_3M"
518,96,2,AMDMUOx_zscore_12M,"AMDMUOx_zscore_12M, AMDMUOx_zscore_6M"
496,346,2,PERMITS_zscore_12M,"PERMITS_zscore_12M, PERMITS_zscore_6M"
491,330,2,PERMITMW_zscore_12M,"PERMITMW_zscore_12M, PERMITMW_zscore_6M"
538,560,2,M2SL_accel_12M,"M2SL_accel_12M, M2SL_chg_12M"
527,73,2,BUSINVx_accel_12M,"BUSINVx_accel_12M, BUSINVx_chg_12M"
528,138,2,ISRATIOx_accel_3M,"ISRATIOx_accel_3M, ISRATIOx_chg_3M"
530,191,2,ISRATIOx_accel_6M,"ISRATIOx_accel_6M, ISRATIOx_chg_6M"
531,151,2,ISRATIOx_accel_12M,"ISRATIOx_accel_12M, ISRATIOx_chg_12M"
532,564,2,M1SL_accel_3M,"M1SL_accel_3M, M1SL_chg_3M"
533,559,2,M1SL_accel_6M,"M1SL_accel_6M, M1SL_chg_6M"
483,307,2,PERMITNE_zscore_12M,"PERMITNE_zscore_12M, PERMITNE_zscore_6M"
536,563,2,M2SL_accel_3M,"M2SL_accel_3M, M2SL_chg_3M"
537,558,2,M2SL_accel_6M,"M2SL_accel_6M, M2SL_chg_6M"
559,719,2,BUSLOANS_accel_12M,"BUSLOANS_accel_12M, BUSLOANS_chg_12M"
444,318,2,HOUSTS_accel_12M,"HOUSTS_accel_12M, HOUST_accel_12M"
588,438,2,CP3Mx_accel_6M,"CP3Mx_accel_6M, CP3Mx_chg_6M"
581,437,2,FEDFUNDS_accel_6M,"FEDFUNDS_accel_6M, FEDFUNDS_chg_6M"
569,115,2,CONSPI_accel_6M,"CONSPI_accel_6M, CONSPI_chg_6M"
570,120,2,CONSPI_zscore_12M,"CONSPI_zscore_12M, CONSPI_zscore_6M"
410,274,2,USTRADE_zscore_12M,"USTRADE_zscore_12M, USTRADE_zscore_6M"
406,265,2,USWTRADE_zscore_12M,"USWTRADE_zscore_12M, USWTRADE_zscore_6M"
400,182,2,USTRADE_accel_12M,"USTPU_accel_12M, USTRADE_accel_12M"
399,181,2,USTRADE_chg_12M,"USTPU_chg_12M, USTRADE_chg_12M"
398,275,2,USTPU_zscore_12M,"USTPU_zscore_12M, USTPU_zscore_6M"
397,197,2,USTRADE_accel_6M,"USTPU_accel_6M, USTRADE_accel_6M"
396,196,2,USTRADE_chg_6M,"USTPU_chg_6M, USTRADE_chg_6M"
394,267,2,USTRADE_accel_3M,"USTPU_accel_3M, USTRADE_accel_3M"
419,701,2,USGOVT_accel_3M,"USGOVT_accel_3M, USGOVT_chg_3M"
393,268,2,USTRADE_chg_3M,"USTPU_chg_3M, USTRADE_chg_3M"
582,397,2,FEDFUNDS_zscore_12M,"FEDFUNDS_zscore_12M, FEDFUNDS_zscore_6M"
391,187,2,NDMANEMP_accel_12M,"NDMANEMP_accel_12M, NDMANEMP_chg_12M"
390,242,2,NDMANEMP_zscore_12M,"NDMANEMP_zscore_12M, NDMANEMP_zscore_6M"
383,202,2,DMANEMP_accel_6M,"DMANEMP_accel_6M, MANEMP_accel_6M"
382,200,2,DMANEMP_chg_6M,"DMANEMP_chg_6M, MANEMP_chg_6M"
381,251,2,DMANEMP_zscore_3M,"DMANEMP_zscore_3M, MANEMP_zscore_3M"
380,246,2,DMANEMP_accel_3M,"DMANEMP_accel_3M, MANEMP_accel_3M"
379,247,2,DMANEMP_chg_3M,"DMANEMP_chg_3M, MANEMP_chg_3M"
416,67,2,USFIRE_zscore_12M,"USFIRE_zscore_12M, USFIRE_zscore_6M"
565,728,2,NONREVSL_accel_12M,"NONREVSL_accel_12M, NONREVSL_chg_12M"
442,335,2,HOUST_zscore_12M,"HOUST_zscore_12M, HOUST_zscore_6M"
432,156,2,AWOTMAN_accel_3M,"AWOTMAN_accel_3M, AWOTMAN_chg_3M"
441,298,2,HOUSTS_accel_6M,"HOUSTS_accel_6M, HOUST_accel_6M"
440,334,2,HOUSTS_chg_6M,"HOUSTS_chg_6M, HOUST_chg_6M"
560,722,2,REALLN_accel_3M,"REALLN_accel_3M, REALLN_chg_3M"
561,721,2,REALLN_accel_6M,"REALLN_accel_6M, REALLN_chg_6M"
562,723,2,REALLN_accel_12M,"REALLN_accel_12M, REALLN_chg_12M"
436,173,2,AWHMAN_zscore_6M,"AWHMAN_zscore_3M, AWHMAN_zscore_6M"
563,726,2,NONREVSL_accel_3M,"NONREVSL_accel_3M, NONREVSL_chg_3M"
434,155,2,AWOTMAN_accel_12M,"AWOTMAN_accel_12M, AWOTMAN_chg_12M"
433,157,2,AWOTMAN_accel_6M,"AWOTMAN_accel_6M, AWOTMAN_chg_6M"
431,171,2,AWHMAN_zscore_12M,"AWHMAN_zscore_12M, CES0600000007_zscore_12M"
421,699,2,USGOVT_accel_6M,"USGOVT_accel_6M, USGOVT_chg_6M"
293,106,2,IPB51222S_accel_12M,"IPB51222S_accel_12M, IPB51222S_chg_12M"
429,164,2,AWHMAN_chg_12M,"AWHMAN_chg_12M, CES0600000007_chg_12M"
428,169,2,AWHMAN_accel_6M,"AWHMAN_accel_6M, CES0600000007_accel_6M"
427,170,2,AWHMAN_chg_6M,"AWHMAN_chg_6M, CES0600000007_chg_6M"
426,174,2,CES0600000007_zscore_6M,"CES0600000007_zscore_3M, CES0600000007_zscore_6M"
564,725,2,NONREVSL_accel_6M,"NONREVSL_accel_6M, NONREVSL_chg_6M"
424,172,2,AWHMAN_chg_3M,"AWHMAN_chg_3M, CES0600000007_chg_3M"
423,700,2,USGOVT_accel_12M,"USGOVT_accel_12M, USGOVT_chg_12M"
422,702,2,USGOVT_zscore_12M,"USGOVT_zscore_12M, USGOVT_zscore_6M"
294,738,2,IPFUELS_accel_3M,"IPFUELS_accel_3M, IPFUELS_chg_3M"
0,127,2,RPI,"RPI, W875RX1"
292,104,2,IPB51222S_accel_6M,"IPB51222S_accel_6M, IPB51222S_chg_6M"
670,671,2,PPICMM_accel_3M,"PPICMM_accel_3M, PPICMM_chg_3M"
156,469,2,VIXCLSx_Q1,"VIXCLSx_Q1, VIXCLSx_extreme_low"
695,573,2,CUSR0000SAD_accel_12M,"CUSR0000SAD_accel_12M, CUSR0000SAD_chg_12M"
696,585,2,CUSR0000SAS_accel_3M,"CUSR0000SAS_accel_3M, CUSR0000SAS_chg_3M"
697,584,2,CUSR0000SAS_accel_6M,"CUSR0000SAS_accel_6M, CUSR0000SAS_chg_6M"
151,521,2,AAA_10Y_Spread_Q1,"AAA_10Y_Spread_Q1, AAA_10Y_Spread_extreme_low"
698,586,2,CUSR0000SAS_accel_12M,"CUSR0000SAS_accel_12M, CUSR0000SAS_chg_12M"
699,623,2,CPIULFSL_accel_3M,"CPIULFSL_accel_3M, CPIULFSL_chg_3M"
700,602,2,CPIULFSL_accel_6M,"CPIULFSL_accel_6M, CPIULFSL_chg_6M"
146,517,2,BAA_10Y_Spread_Q1,"BAA_10Y_Spread_Q1, BAA_10Y_Spread_extreme_low"
701,619,2,CPIULFSL_accel_12M,"CPIULFSL_accel_12M, CPIULFSL_chg_12M"
702,627,2,CUSR0000SA0L2_accel_3M,"CUSR0000SA0L2_accel_3M, CUSR0000SA0L2_chg_3M"
703,607,2,CUSR0000SA0L2_accel_6M,"CUSR0000SA0L2_accel_6M, CUSR0000SA0L2_chg_6M"
704,616,2,CUSR0000SA0L5_accel_12M,"CUSR0000SA0L5_accel_12M, CUSR0000SA0L5_chg_12M"
705,625,2,PCEPI_accel_3M,"PCEPI_accel_3M, PCEPI_chg_3M"
706,604,2,PCEPI_accel_6M,"PCEPI_accel_6M, PCEPI_chg_6M"
707,614,2,PCEPI_accel_12M,"PCEPI_accel_12M, PCEPI_chg_12M"
137,481,2,FEDFUNDS_Q3,"FEDFUNDS_Q3, TB3MS_Q3"
708,568,2,DDURRG3M086SBEA_accel_3M,"DDURRG3M086SBEA_accel_3M, DDURRG3M086SBEA_chg_3M"
134,501,2,GS5_Q4,"GS10_Q4, GS5_Q4"
694,571,2,CUSR0000SAD_accel_6M,"CUSR0000SAD_accel_6M, CUSR0000SAD_chg_6M"
693,572,2,CUSR0000SAD_accel_3M,"CUSR0000SAD_accel_3M, CUSR0000SAD_chg_3M"
160,468,2,VIXCLSx_Q5,"VIXCLSx_Q5, VIXCLSx_extreme_high"
682,603,2,CPITRNSL_accel_6M,"CPITRNSL_accel_6M, CPITRNSL_chg_6M"
672,669,2,PPICMM_accel_12M,"PPICMM_accel_12M, PPICMM_chg_12M"
674,609,2,CUSR0000SA0L5_chg_6M,"CPIAUCSL_chg_6M, CUSR0000SA0L5_chg_6M"
675,606,2,CUSR0000SA0L5_accel_6M,"CPIAUCSL_accel_6M, CUSR0000SA0L5_accel_6M"
676,615,2,CPIAUCSL_accel_12M,"CPIAUCSL_accel_12M, CPIAUCSL_chg_12M"
677,577,2,CPIAPPSL_accel_3M,"CPIAPPSL_accel_3M, CPIAPPSL_chg_3M"
180,489,2,PERMIT_Q5,"PERMIT_Q5, PERMIT_extreme_high"
680,578,2,CPIAPPSL_accel_12M,"CPIAPPSL_accel_12M, CPIAPPSL_chg_12M"
681,624,2,CPITRNSL_accel_3M,"CPITRNSL_accel_3M, CPITRNSL_chg_3M"
291,105,2,IPB51222S_accel_3M,"IPB51222S_accel_3M, IPB51222S_chg_3M"
690,605,2,DNDGRG3M086SBEA_accel_6M,"CUSR0000SAC_accel_6M, DNDGRG3M086SBEA_accel_6M"
683,620,2,CPITRNSL_accel_12M,"CPITRNSL_accel_12M, CPITRNSL_chg_12M"
684,742,2,CPIMEDSL_accel_3M,"CPIMEDSL_accel_3M, CPIMEDSL_chg_3M"
685,741,2,CPIMEDSL_accel_6M,"CPIMEDSL_accel_6M, CPIMEDSL_chg_6M"
686,743,2,CPIMEDSL_accel_12M,"CPIMEDSL_accel_12M, CPIMEDSL_chg_12M"
687,629,2,DNDGRG3M086SBEA_chg_3M,"CUSR0000SAC_chg_3M, DNDGRG3M086SBEA_chg_3M"
688,628,2,DNDGRG3M086SBEA_accel_3M,"CUSR0000SAC_accel_3M, DNDGRG3M086SBEA_accel_3M"
165,509,2,UNRATE_Q5,"UNRATE_Q5, UNRATE_extreme_high"
689,608,2,DNDGRG3M086SBEA_chg_6M,"CUSR0000SAC_chg_6M, DNDGRG3M086SBEA_chg_6M"
709,570,2,DDURRG3M086SBEA_accel_6M,"DDURRG3M086SBEA_accel_6M, DDURRG3M086SBEA_chg_6M"
132,505,2,GS10_Q2,"GS10_Q2, GS5_Q2"
710,567,2,DDURRG3M086SBEA_accel_12M,"DDURRG3M086SBEA_accel_12M, DDURRG3M086SBEA_chg_12M"
37,494,2,HOUSTMW,"HOUSTMW, PERMITMW"
60,425,2,AAA,"AAA, BAA"
726,646,2,UMCSENTx_accel_12M,"UMCSENTx_accel_12M, UMCSENTx_chg_12M"
727,733,2,DTCOLNVHFNM_accel_3M,"DTCOLNVHFNM_accel_3M, DTCOLNVHFNM_chg_3M"
728,732,2,DTCOLNVHFNM_accel_6M,"DTCOLNVHFNM_accel_6M, DTCOLNVHFNM_chg_6M"
729,730,2,DTCOLNVHFNM_accel_12M,"DTCOLNVHFNM_accel_12M, DTCOLNVHFNM_chg_12M"
730,735,2,DTCTHFNM_accel_3M,"DTCTHFNM_accel_3M, DTCTHFNM_chg_3M"
731,731,2,DTCTHFNM_accel_6M,"DTCTHFNM_accel_6M, DTCTHFNM_chg_6M"
38,492,2,PERMITS,"HOUSTS, PERMITS"
36,495,2,HOUSTNE,"HOUSTNE, PERMITNE"
96,470,2,VIXCLSx,"VIXCLSx, VIXCLSx_quintile"
33,511,2,AWHMAN,"AWHMAN, CES0600000007"
732,729,2,DTCTHFNM_accel_12M,"DTCTHFNM_accel_12M, DTCTHFNM_chg_12M"
733,554,2,INVEST_accel_3M,"INVEST_accel_3M, INVEST_chg_3M"
734,556,2,INVEST_accel_6M,"INVEST_accel_6M, INVEST_chg_6M"
29,486,2,USTRADE,"USTPU, USTRADE"
735,555,2,INVEST_accel_12M,"INVEST_accel_12M, INVEST_chg_12M"
24,485,2,SRVPRD,"PAYEMS, SRVPRD"
741,667,2,VIXCLSx_zscore_12M,"VIXCLSx_zscore_12M, VIXCLSx_zscore_6M"
725,645,2,UMCSENTx_accel_6M,"UMCSENTx_accel_6M, UMCSENTx_chg_6M"
723,647,2,UMCSENTx_accel_3M,"UMCSENTx_accel_3M, UMCSENTx_chg_3M"
127,432,2,BAA_10Y_Spread_chg_6M,"AAA_10Y_Spread_chg_6M, BAA_10Y_Spread_chg_6M"
716,716,2,CES0600000008_accel_12M,"CES0600000008_accel_12M, CES0600000008_chg_12M"
126,433,2,BAA_10Y_Spread_chg_3M,"AAA_10Y_Spread_chg_3M, BAA_10Y_Spread_chg_3M"
125,427,2,BAA_10Y_Spread_chg_1M,"AAA_10Y_Spread_chg_1M, BAA_10Y_Spread_chg_1M"
124,380,2,Yield_Curve_10Y_3M_chg_1M,"YC_10Y_3M_chg_1M, Yield_Curve_10Y_3M_chg_1M"
711,583,2,DSERRG3M086SBEA_accel_3M,"DSERRG3M086SBEA_accel_3M, DSERRG3M086SBEA_chg_3M"
712,580,2,DSERRG3M086SBEA_accel_6M,"DSERRG3M086SBEA_accel_6M, DSERRG3M086SBEA_chg_6M"
713,581,2,DSERRG3M086SBEA_accel_12M,"DSERRG3M086SBEA_accel_12M, DSERRG3M086SBEA_chg_12M"
714,711,2,CES0600000008_accel_3M,"CES0600000008_accel_3M, CES0600000008_chg_3M"
715,710,2,CES0600000008_accel_6M,"CES0600000008_accel_6M, CES0600000008_chg_6M"
717,705,2,CES2000000008_accel_3M,"CES2000000008_accel_3M, CES2000000008_chg_3M"
100,534,2,BAA_10Y_Spread,"AAA_10Y_Spread, BAA_10Y_Spread"
718,706,2,CES2000000008_accel_6M,"CES2000000008_accel_6M, CES2000000008_chg_6M"
719,708,2,CES2000000008_accel_12M,"CES2000000008_accel_12M, CES2000000008_chg_12M"
720,712,2,CES3000000008_accel_3M,"CES3000000008_accel_3M, CES3000000008_chg_3M"
721,709,2,CES3000000008_accel_6M,"CES3000000008_accel_6M, CES3000000008_chg_6M"
722,715,2,CES3000000008_accel_12M,"CES3000000008_accel_12M, CES3000000008_chg_12M"
104,352,2,Real_5Y_Yield_chg_12M,"Real_10Y_Yield_chg_12M, Real_5Y_Yield_chg_12M"
103,350,2,Real_5Y_Yield_chg_6M,"Real_10Y_Yield_chg_6M, Real_5Y_Yield_chg_6M"
102,354,2,Real_5Y_Yield_chg_3M,"Real_10Y_Yield_chg_3M, Real_5Y_Yield_chg_3M"
671,670,2,PPICMM_accel_6M,"PPICMM_accel_6M, PPICMM_chg_6M"
174,490,2,HOUST_Q5,"HOUST_Q5, HOUST_extreme_high"
669,601,2,OILPRICEx_accel_12M,"OILPRICEx_accel_12M, OILPRICEx_chg_12M"
238,117,2,W875RX1_accel_6M,"W875RX1_accel_6M, W875RX1_chg_6M"
247,152,2,CMRMTSPLx_accel_12M,"CMRMTSPLx_accel_12M, CMRMTSPLx_chg_12M"
246,190,2,CMRMTSPLx_accel_6M,"CMRMTSPLx_accel_6M, CMRMTSPLx_chg_6M"
632,385,2,T10YFFM_zscore_3M,"T10YFFM_zscore_3M, T5YFFM_zscore_3M"
244,137,2,CMRMTSPLx_accel_3M,"CMRMTSPLx_accel_3M, CMRMTSPLx_chg_3M"
668,612,2,OILPRICEx_accel_6M,"OILPRICEx_accel_6M, OILPRICEx_chg_6M"
242,193,2,DPCERA3M086SBEA_accel_6M,"DPCERA3M086SBEA_accel_6M, DPCERA3M086SBEA_chg_6M"
241,139,2,DPCERA3M086SBEA_accel_3M,"DPCERA3M086SBEA_accel_3M, DPCERA3M086SBEA_chg_3M"
240,113,2,W875RX1_accel_12M,"W875RX1_accel_12M, W875RX1_chg_12M"
239,128,2,W875RX1_zscore_12M,"W875RX1_zscore_12M, W875RX1_zscore_6M"
236,123,2,W875RX1_accel_3M,"W875RX1_accel_3M, W875RX1_chg_3M"
639,684,2,TWEXAFEGSMTHx_accel_6M,"TWEXAFEGSMTHx_accel_6M, TWEXAFEGSMTHx_chg_6M"
235,114,2,RPI_accel_12M,"RPI_accel_12M, RPI_chg_12M"
234,129,2,RPI_zscore_12M,"RPI_zscore_12M, RPI_zscore_6M"
233,116,2,RPI_accel_6M,"RPI_accel_6M, RPI_chg_6M"
231,124,2,RPI_accel_3M,"RPI_accel_3M, RPI_chg_3M"
636,386,2,AAAFFM_zscore_3M,"AAAFFM_zscore_3M, BAAFFM_zscore_3M"
637,691,2,TWEXAFEGSMTHx_accel_3M,"TWEXAFEGSMTHx_accel_3M, TWEXAFEGSMTHx_chg_3M"
226,430,2,ECT_yields5_inflation_chg_6M,"ECT_yields5_inflation_chg_6M, ECT_yields_inflation_chg_6M"
225,431,2,ECT_yields5_inflation_chg_3M,"ECT_yields5_inflation_chg_3M, ECT_yields_inflation_chg_3M"
224,529,2,ECT_yields5_inflation_zscore,"ECT_yields5_inflation_zscore, ECT_yields_inflation_zscore"
248,140,2,RETAILx_accel_3M,"RETAILx_accel_3M, RETAILx_chg_3M"
249,192,2,RETAILx_accel_6M,"RETAILx_accel_6M, RETAILx_chg_6M"
250,141,2,RETAILx_accel_12M,"RETAILx_accel_12M, RETAILx_chg_12M"
514,91,2,AMDMUOx_accel_3M,"AMDMUOx_accel_3M, AMDMUOx_chg_3M"
290,236,2,CUMFNS_zscore_3M,"CUMFNS_zscore_3M, IPMANSICS_zscore_3M"
289,214,2,IPNMAT_accel_12M,"IPNMAT_accel_12M, IPNMAT_chg_12M"
288,204,2,IPNMAT_accel_6M,"IPNMAT_accel_6M, IPNMAT_chg_6M"
286,215,2,IPNMAT_accel_3M,"IPNMAT_accel_3M, IPNMAT_chg_3M"
285,228,2,IPDMAT_zscore_12M,"IPDMAT_zscore_12M, IPDMAT_zscore_6M"
283,220,2,IPDMAT_accel_3M,"IPDMAT_accel_3M, IPDMAT_chg_3M"
282,230,2,IPMAT_zscore_12M,"IPMAT_zscore_12M, IPMAT_zscore_6M"
625,361,2,TB3SMFFM_zscore_12M,"TB3SMFFM_zscore_12M, TB3SMFFM_zscore_6M"
278,219,2,IPMAT_accel_3M,"IPMAT_accel_3M, IPMAT_chg_3M"
277,175,2,IPBUSEQ_accel_12M,"IPBUSEQ_accel_12M, IPBUSEQ_chg_12M"
276,225,2,IPBUSEQ_zscore_12M,"IPBUSEQ_zscore_12M, IPBUSEQ_zscore_6M"
628,363,2,T1YFFM_zscore_3M,"T1YFFM_zscore_3M, TB6SMFFM_zscore_3M"
272,218,2,IPBUSEQ_accel_3M,"IPBUSEQ_accel_3M, IPBUSEQ_chg_3M"
271,108,2,IPNCONGD_accel_12M,"IPNCONGD_accel_12M, IPNCONGD_chg_12M"
270,103,2,IPNCONGD_accel_6M,"IPNCONGD_accel_6M, IPNCONGD_chg_6M"
269,109,2,IPNCONGD_accel_3M,"IPNCONGD_accel_3M, IPNCONGD_chg_3M"
268,178,2,IPDCONGD_accel_12M,"IPDCONGD_accel_12M, IPDCONGD_chg_12M"
267,211,2,IPDCONGD_accel_6M,"IPDCONGD_accel_6M, IPDCONGD_chg_6M"
265,223,2,IPDCONGD_accel_3M,"IPDCONGD_accel_3M, IPDCONGD_chg_3M"
223,519,2,ECT_yields_inflation,"ECT_yields5_inflation, ECT_yields_inflation"
243,142,2,DPCERA3M086SBEA_accel_12M,"DPCERA3M086SBEA_accel_12M, DPCERA3M086SBEA_chg_12M"
640,680,2,TWEXAFEGSMTHx_accel_12M,"TWEXAFEGSMTHx_accel_12M, TWEXAFEGSMTHx_chg_12M"
652,683,2,EXUSUKx_accel_6M,"EXUSUKx_accel_6M, EXUSUKx_chg_6M"
667,599,2,OILPRICEx_accel_3M,"OILPRICEx_accel_3M, OILPRICEx_chg_3M"
666,644,2,WPSID62_accel_12M,"WPSID62_accel_12M, WPSID62_chg_12M"
665,613,2,WPSID62_accel_6M,"WPSID62_accel_6M, WPSID62_chg_6M"
664,638,2,WPSID62_accel_3M,"WPSID62_accel_3M, WPSID62_chg_3M"
663,622,2,WPSID61_accel_12M,"WPSID61_accel_12M, WPSID61_chg_12M"
662,610,2,WPSID61_accel_6M,"WPSID61_accel_6M, WPSID61_chg_6M"
641,692,2,EXSZUSx_accel_3M,"EXSZUSx_accel_3M, EXSZUSx_chg_3M"
661,639,2,WPSID61_accel_3M,"WPSID61_accel_3M, WPSID61_chg_3M"
202,659,2,VIXCLSx_quintile_chg,"VIXCLSx_quintile_chg, VIXCLSx_regime_down"
657,674,2,EXCAUSx_accel_12M,"EXCAUSx_accel_12M, EXCAUSx_chg_12M"
656,673,2,EXCAUSx_accel_6M,"EXCAUSx_accel_6M, EXCAUSx_chg_6M"
654,675,2,EXCAUSx_accel_3M,"EXCAUSx_accel_3M, EXCAUSx_chg_3M"
653,679,2,EXUSUKx_accel_12M,"EXUSUKx_accel_12M, EXUSUKx_chg_12M"
513,99,2,ANDENOx_accel_12M,"ANDENOx_accel_12M, ANDENOx_chg_12M"
644,681,2,EXSZUSx_accel_12M,"EXSZUSx_accel_12M, EXSZUSx_chg_12M"
643,685,2,EXSZUSx_accel_6M,"EXSZUSx_accel_6M, EXSZUSx_chg_6M"
648,682,2,EXJPUSx_accel_6M,"EXJPUSx_accel_6M, EXJPUSx_chg_6M"
650,690,2,EXUSUKx_accel_3M,"EXUSUKx_accel_3M, EXUSUKx_chg_3M"
649,678,2,EXJPUSx_accel_12M,"EXJPUSx_accel_12M, EXJPUSx_chg_12M"
621,377,1,COMPAPFFx_accel_12M,COMPAPFFx_accel_12M
584,404,1,FEDFUNDS_accel_12M,FEDFUNDS_accel_12M
523,75,1,BUSINVx_zscore_3M,BUSINVx_zscore_3M
524,69,1,BUSINVx_chg_6M,BUSINVx_chg_6M
525,70,1,BUSINVx_accel_6M,BUSINVx_accel_6M
583,403,1,FEDFUNDS_chg_12M,FEDFUNDS_chg_12M
620,376,1,COMPAPFFx_chg_12M,COMPAPFFx_chg_12M
522,72,1,BUSINVx_accel_3M,BUSINVx_accel_3M
623,365,1,TB3SMFFM_zscore_3M,TB3SMFFM_zscore_3M
529,147,1,ISRATIOx_zscore_3M,ISRATIOx_zscore_3M
642,696,1,EXSZUSx_zscore_3M,EXSZUSx_zscore_3M
618,372,1,COMPAPFFx_accel_6M,COMPAPFFx_accel_6M
638,695,1,TWEXAFEGSMTHx_zscore_3M,TWEXAFEGSMTHx_zscore_3M
585,411,1,CP3Mx_chg_3M,CP3Mx_chg_3M
651,694,1,EXUSUKx_zscore_3M,EXUSUKx_zscore_3M
521,71,1,BUSINVx_chg_3M,BUSINVx_chg_3M
534,561,1,M1SL_chg_12M,M1SL_chg_12M
519,94,1,AMDMUOx_chg_12M,AMDMUOx_chg_12M
736,665,1,VIXCLSx_chg_3M,VIXCLSx_chg_3M
737,666,1,VIXCLSx_accel_3M,VIXCLSx_accel_3M
517,87,1,AMDMUOx_accel_6M,AMDMUOx_accel_6M
586,412,1,CP3Mx_accel_3M,CP3Mx_accel_3M
738,668,1,VIXCLSx_zscore_3M,VIXCLSx_zscore_3M
739,663,1,VIXCLSx_chg_6M,VIXCLSx_chg_6M
740,664,1,VIXCLSx_accel_6M,VIXCLSx_accel_6M
587,416,1,CP3Mx_zscore_3M,CP3Mx_zscore_3M
742,661,1,VIXCLSx_chg_12M,VIXCLSx_chg_12M
516,86,1,AMDMUOx_chg_6M,AMDMUOx_chg_6M
515,97,1,AMDMUOx_zscore_3M,AMDMUOx_zscore_3M
520,95,1,AMDMUOx_accel_12M,AMDMUOx_accel_12M
607,423,1,AAA_zscore_3M,AAA_zscore_3M
535,562,1,M1SL_accel_12M,M1SL_accel_12M
568,121,1,CONSPI_zscore_3M,CONSPI_zscore_3M
571,111,1,CONSPI_chg_12M,CONSPI_chg_12M
572,112,1,CONSPI_accel_12M,CONSPI_accel_12M
556,540,1,NONBORRES_accel_12M,NONBORRES_accel_12M
555,539,1,NONBORRES_chg_12M,NONBORRES_chg_12M
567,119,1,CONSPI_accel_3M,CONSPI_accel_3M
553,551,1,NONBORRES_zscore_3M,NONBORRES_zscore_3M
655,677,1,EXCAUSx_zscore_3M,EXCAUSx_zscore_3M
566,118,1,CONSPI_chg_3M,CONSPI_chg_3M
551,543,1,TOTRESNS_accel_12M,TOTRESNS_accel_12M
594,422,1,TB3MS_zscore_3M,TB3MS_zscore_3M
548,542,1,BOGMBASE_accel_12M,BOGMBASE_accel_12M
578,395,1,FEDFUNDS_chg_3M,FEDFUNDS_chg_3M
579,396,1,FEDFUNDS_accel_3M,FEDFUNDS_accel_3M
613,424,1,BAA_zscore_3M,BAA_zscore_3M
544,594,1,M2REAL_accel_12M,M2REAL_accel_12M
543,593,1,M2REAL_chg_12M,M2REAL_chg_12M
614,366,1,COMPAPFFx_chg_3M,COMPAPFFx_chg_3M
580,398,1,FEDFUNDS_zscore_3M,FEDFUNDS_zscore_3M
647,689,1,EXJPUSx_zscore_3M,EXJPUSx_zscore_3M
615,367,1,COMPAPFFx_accel_3M,COMPAPFFx_accel_3M
616,369,1,COMPAPFFx_zscore_3M,COMPAPFFx_zscore_3M
646,687,1,EXJPUSx_accel_3M,EXJPUSx_accel_3M
645,686,1,EXJPUSx_chg_3M,EXJPUSx_chg_3M
724,649,1,UMCSENTx_zscore_3M,UMCSENTx_zscore_3M
591,406,1,CP3Mx_accel_12M,CP3Mx_accel_12M
590,405,1,CP3Mx_chg_12M,CP3Mx_chg_12M
679,576,1,CPIAPPSL_accel_6M,CPIAPPSL_accel_6M
617,371,1,COMPAPFFx_chg_6M,COMPAPFFx_chg_6M
678,575,1,CPIAPPSL_chg_6M,CPIAPPSL_chg_6M
540,597,1,M2REAL_zscore_3M,M2REAL_zscore_3M
372,255,1,USCONS_accel_3M,USCONS_accel_3M
512,90,1,ANDENOx_accel_6M,ANDENOx_accel_6M
201,390,1,AAA_10Y_Spread_regime_down,AAA_10Y_Spread_regime_down
199,389,1,AAA_10Y_Spread_quintile_chg,AAA_10Y_Spread_quintile_chg
198,393,1,BAA_10Y_Spread_regime_down,BAA_10Y_Spread_regime_down
197,394,1,BAA_10Y_Spread_regime_up,BAA_10Y_Spread_regime_up
196,392,1,BAA_10Y_Spread_quintile_chg,BAA_10Y_Spread_quintile_chg
195,444,1,GS5_regime_down,GS5_regime_down
194,446,1,GS5_regime_up,GS5_regime_up
193,443,1,GS5_quintile_chg,GS5_quintile_chg
192,448,1,GS1_regime_down,GS1_regime_down
191,449,1,GS1_regime_up,GS1_regime_up
190,447,1,GS1_quintile_chg,GS1_quintile_chg
189,451,1,TB3MS_regime_down,TB3MS_regime_down
188,452,1,TB3MS_regime_up,TB3MS_regime_up
187,450,1,TB3MS_quintile_chg,TB3MS_quintile_chg
186,455,1,FEDFUNDS_regime_down,FEDFUNDS_regime_down
185,454,1,FEDFUNDS_regime_up,FEDFUNDS_regime_up
